ID,Name as found,Locations,Occurrences,Visual description,Styling source,Hardcoded values,States implemented,States missing,Behaviour,Accessibility,Near-duplicates,Verdict
EL-015,Bare-glyph button (no hit area/label),"LibraryPage:187(←), ChainEditor:665(×), TaskChainOverview pencils:950",5+,Naked ← / × / ✎ glyph as button,Utility classes,"text-zinc-500, hover:text-zinc-200",hover,focus-visible hit-area,Click,DEFECT: no aria-label; tiny target; text glyph,EL-014,merge
EL-016,Text link button (inline),"ProjectsSurface:251, AgentSessionsTab:123, ScheduleEditor:257, AgentDetail:250",15+,Underline-on-hover inline text action,Utility classes,"text-sky-400/300, hover:underline, text-xs/sm",hover,focus-visible,Click,Native button/a; sky-300 vs 400 inconsistent; no hit area,EL-008,merge
EL-017,Framer-pill button,"ArtifactUpload:243",1,White/red pill via global framer-pill class,framer global CSS,"framer-pill, bg-white/bg-red-600",disabled loading,focus-visible,Click,Native; non-Tailwind global class,EL-001 EL-010,merge
EL-018,Send button (multiple styles),"Composer:139(white pill), ThreadPage:1263(sky icon), ChatComposer:316(ghost arrow)",5,Send action rendered 3+ different ways,Mixed,"framer-pill / bg-sky-400 grid h-9 w-9 / rounded-full border",hover disabled,focus-visible,Click; Cmd/Ctrl+Enter,Native; aria-label on some,EL-001 EL-014,merge
EL-019,Toggle button (active=emerald/sky pressed),"AgentBridgesTab:94, ArtifactViewer:1014, mobile inspector toggle",4,On/off pill; active tinted,Utility classes,"bg-emerald-400/sky-400/15 when on; white/10 off",hover selected disabled,focus-visible,Click toggles,Some have aria-pressed (good); AgentBridgesTab lacks it,,merge
EL-020,Text input (canonical dark),"Bridges:180, Projects:225, ChainEditor:609, ArtifactViewer:1063 (~40)",40+,Dark rounded input hairline border,Utility classes,"bg-black/30, border-white/10, rounded-xl, px-3, py-2, focus:border-sky-400, outline-none",focus,focus-visible invalid disabled error,Text entry,outline-none + border-only focus; labels inconsistent (some wrap label no htmlFor),EL-021 EL-022,merge
EL-021,Text input (bg-black/40 focus sky-500),"MemoryPanel:124/396, EditForm:649",10,Same as EL-020 but /40 + sky-500,Utility classes,"bg-black/40, focus:border-sky-500",focus,focus-visible invalid,Text entry,label is sibling no htmlFor,EL-020,merge
EL-022,Text input (rounded-lg zinc-900),"ScheduleEditor:303, TaskChainOverview:1564",many,Rounded-lg dark input; cron has valid/invalid swap,Utility classes,"bg-zinc-900, rounded-lg, px-3, py-1.5, focus:border-sky-400",focus error,focus-visible disabled,Text entry,cron invalid state good,EL-020,merge
EL-023,Text input (light/gray/blue OUTLIER),"MemoryScopeSelector:207-299",5,Light-mode-aware gray input with blue focus ring,Utility classes,"border-gray-300 dark:border-gray-600, bg-white dark:bg-gray-800, focus:ring-blue-500",focus,,Text entry,ONLY theme-aware + focus:ring + blue-palette control; compile-shim,EL-020,delete
EL-024,Textarea,"MemoryPanel:141, ActionEditor:264, ChainEditor:613, ArtifactViewer:561",many,Dark resizable multiline input,Utility classes,"bg-black/30, resize-y, rounded-xl, focus:border-sky/emerald/amber-400",focus,invalid disabled error,Text entry,placeholder-only labels on several,EL-020,merge
EL-025,Native select (dark),"Providers:164, ScheduleEditor:208, ChainEditor:624 (~30), RuntimeRestart:59",30+,Native OS select styled dark,Utility classes,"bg-black/30/zinc-900, border-white/10, rounded-lg/xl, focus:border-sky-400",focus disabled,focus-visible,Select option,Native select; RuntimeRestart/TaskChains have aria-label/htmlFor (good); Library selects no focus style,EL-026,merge
EL-026,Custom select — SearchableSelect,"SearchableSelect.tsx, ConversationLaunchComposer:395, ActionEditor:245",1 comp,Trigger + searchable listbox popover,Utility classes,"rounded-2xl, bg-black/30, popover bg-[#12151c] z-50",open selected active disabled loading empty,focus-visible aria-activedescendant,Type-to-filter; outside-click close,role=listbox/option/aria-selected good; trigger not role=combobox; no aria-activedescendant,EL-027,promote
EL-027,Custom multi-select — SearchableMultiSelect,"SearchableMultiSelect.tsx, memoryScope ScopeEditor:175",1 comp,Chip-filled control + checkable listbox,Utility classes,"min-h-[2.5rem], chips rounded-full, check h-5 w-5",open selected disabled loading,focus-visible aria-activedescendant,Multi-pick; chip remove,role=listbox aria-multiselectable good; chip remove aria-label good; no aria-activedescendant,EL-026,promote
EL-028,Checkbox (native),"Providers:267, TaskChainsPage:291, PLM:645, OnboardingWizard:278",many,Native checkbox accent-colored,Utility classes,"h-4 w-4, accent-sky-400/[var(--fd-accent-blue)], focus:ring-0",checked disabled,focus-visible,Toggle,Wrapped in label (good); focus:ring-0 kills focus ring,EL-029,merge
EL-029,Radio (native),"ProvidersPanel:195",many,Native radio in label,Utility classes,native,checked disabled,focus-visible,Select one,In label (good),EL-028,merge
EL-030,Toggle switch,"NotificationsPanel:46, ActionEditorPage:290",2,Sliding pill switch with knob,Utility classes,"h-6 w-11 rounded-full, peer-checked:bg-sky-500; knob h-5 w-5 bg-white",checked disabled focus(weak),focus-visible,Toggle,NotifPanel: role=switch aria-checked aria-label (BEST); ActionEditor peer-focus:outline-none kills ring,,promote
EL-031,Chip-list input (add/remove tags),"ProvidersPanel:304, ScheduleEditor blackout:400",2,Input + Add button + removable chips,Utility classes,"min-h-[44px], chips rounded-full bg-white/10 px-3 py-1",focus,,Enter to add; × removes,onKeyDown Enter good; remove × NO aria-label,,promote
EL-032,Date/time inputs,"ScheduleEditor:229/427/467",4,Native date/time/datetime-local,Utility classes,same as EL-020,focus,,Pick date/time,Labeled (good),EL-020,merge
EL-033,Framer input (token-based),"SessionConfig:42/53, OnboardingWizard:169, ElectronDeviceAuthGate:349",6+,Token-based input,framer/CSS-var,"framer-input, bg-[var(--fd-surface-2)], border-[var(--fd-hairline)]",focus,error,Text entry,SessionConfig has label htmlFor+id — BEST a11y example; OW labels not associated,EL-020,merge
EL-034,Picker-as-button (opens modal),"ChainEditor:711/717",2,Button styled like input that opens a picker,Utility classes,"flex justify-between, bg-black/30, rounded-xl",hover,focus-visible,Opens AgentPicker modal,wrapping label is div not label,EL-020,delete (removed; see 09-dead-code-removed.md)
EL-035,Page header A (eyebrow+h1+subtitle),"ProjectsSurface:100, MemoryPage:95, MemoryManagementPage:302",3,Uppercase eyebrow over big h1 + muted subtitle,Utility classes,"text-[11px] uppercase tracking-[0.22em]; h1 text-2xl font-semibold; text-sm text-zinc-500",default,,Static header,h1 present (good),EL-036 EL-037 EL-038 EL-039 EL-040,promote
EL-036,Page header B (h1+count pill+border-b),"ActionsPanel:192, TaskChainsPage:254",2,h1 with inline count pill and bottom border; no eyebrow,Utility classes,"h1 text-2xl font-bold; border-b border-white/10 pb-5; text-zinc-400 subtitle",default,,Static header,h1 good,EL-035,merge
EL-037,Page header C (h2 font-bold + text-xs sub),"MemoryPanel:73",1,h2 (bold) with tiny subtitle and border-b,Utility classes,"h2 text-xl font-bold; p text-xs text-zinc-400; border-b pb-4",default,,Static header,h2 as panel title,EL-035,merge
EL-038,Page header D (bare h3 no size),"BridgesPanel:164",1,h3 with default size + subtitle; panel wrapped in card,Utility classes,"h3 font-semibold (no size); p text-xs text-zinc-500",default,,Static header,inherits default size,EL-035,merge
EL-039,Page header E (header-in-a-card),"ActionEditorPage:191",1,Header inside a rounded card with cancel link,Utility classes,"card rounded-2xl bg-white/[0.04] p-5; h1 text-2xl",default,,Static header,h1 good,EL-035,merge
EL-040,Page header F (h2 as title / text-lg),"TaskChainOverview:1269, SkillViewerPage:15",2,Section title using h2 or text-lg h1; no page h1,Utility classes,"h2 text-lg sm:text-xl font-bold; or h1 text-lg",default,,Static header,DEFECT: no page-level h1 (heading hierarchy),EL-035,merge
EL-041,Section header (form section),"ActionEditorPage:216, various",many,Small h2/label + hint over a group,Utility classes,"h2 text-sm font-semibold; p text-xs text-zinc-500; border-t pt-6",default,,Static,ok,,promote
EL-042,Uppercase eyebrow/section label,"ProjectsSurface:114, memory tabs, InstanceRunDir",50+,Tracked uppercase micro-label,Utility classes,"text-[11px]/[10.5px] uppercase tracking-[0.14..0.22em] text-zinc-500/600",default,,Static,decorative; sometimes wraps label,,promote
EL-043,Panel/card container (soft),"settings/*, chat inspector, ProjectsSurface:204, ChainEditor:512",many,Rounded card hairline border faint fill,Utility classes,"rounded-xl/2xl/3xl, border-white/10, bg-white/[0.02/0.03/0.035/0.04], p-3..5",hover(some),,Container,varies radius 2xl/3xl + surface opacity,EL-044,promote
EL-044,Card container (dark hex),"TaskChainOverview:888, ActionsPanel:438, various",many,Rounded card with hardcoded dark hex bg,Utility classes,"rounded-lg/xl, bg-[#111111]/#121212/black/40, border-white/10",hover,,Container,hardcoded hex surfaces,EL-043,merge
EL-045,Split shell (sidebar/main/inspector),"UnifiedWorkspaceShell:17, WorkspaceMainRegion:15, ThreadPage:1372",2,Full-height flex columns with borders,Utility classes,"flex h-full min-h-0; border-r/l border-white/10",responsive,,3-pane layout,section/aside semantics ok,,promote
EL-046,Inspector aside (fixed width),"ContextInspector:88, ChatSidebar:12",2,Right/left panel fixed width with hairline,Utility classes,"w-[420px], border-[#262626], bg-[#0d0d0d]",collapsed,,Collapsible panel,aside + aria-label on toggles (good); ChatSidebar outline-none on focusable,,promote
EL-047,Badge (neutral),"MemoryManagementPage:588, MemoryPage:379, MemoryDetailPage:238, ConversationMemoryTab:52",many,Small rounded-full neutral tag,Utility classes,"rounded-full, border-white/10, bg-white/5, px-2, py-0.5, text-[11px], text-zinc-300",default,,Static,3 identical local Badge components,EL-048,promote
EL-048,Status pill (tone map),"MemoryPanel:497, CurrentTaskStrip:163, AgentListItem:107, ChainEditor:501, ActionsPanel:465",many,Tinted rounded-full status label,Utility classes,"rounded-full, per-tone bg-{c}-400/10..900/50, text-{c}-200/300; 5 opacity scales",default,,Static,~10 tones; 5 parallel opacity scales for same semantics,EL-047 EL-049,promote
EL-049,Count/unread pill,"AppShell:509, ConversationsHomePage:124, CommandPalette:412, ActionsPanel:196",many,Small numeric badge (sky or neutral),Utility classes,"rounded-full bg-sky-400/white/10, px-1.5, py-0.5, text-[9px]/[10px], font-black",default,,Static; 99+ clamp,text-[9px] on mobile; no aria-label,EL-047,promote
EL-050,Status dot,"AppShell:563(DOT_COLOR_CLASSES ~10), ProjectsSurface:440, RuntimeChip:42",many,Small colored dot; sometimes pulsing/bouncing,Utility classes,"h-1.5/2 w-* rounded-full bg-{c}-400; animate-pulse/bounce/soft-pulse",live working starting idle,,Live status,4 independent impls; 3 color systems; COLOR-ONLY (no text/aria label of state),,promote
EL-051,Tag chip (colored semantic),"NewLocalProxyAgentWizard:264, BridgeDirectoryPicker:152, memoryScope:41, ProjectsSurface:333",many,Colored tag: linked/remote/git/tier/scope,Utility classes,"rounded-full bg-{emerald/teal/sky/violet}-400/10-15, text-{c}-200, text-[10px]/[11px]",default,,Static,color-coded; no aria,EL-047 EL-048,merge
EL-052,Avatar (initials),"ConversationsHomePage:120, ChainEditor:578, ProjectsSurface:146, SearchableSelect:153",several,Initial/glyph in rounded tile or circle,Utility classes,"h-7..16 w-*, rounded-lg/xl/2xl/full, bg-sky-400/10 OR gradient from-sky to-violet",default,,Static,2+ avatar shapes (rounded vs square),,promote
EL-053,kbd chip,"CommandPalette:359, ChainEditor:508",many,Keyboard shortcut hint chip,Utility classes,"rounded, border-white/10, bg-white/5, px-1.5, text-[10px]",default,,Static,uses <kbd> (good),,keep as one-off
EL-054,Tier micro-badge,"AgentListItem:107",1,Tiny uppercase tier tag,Utility classes,"rounded-full px-1 py-0.5 text-[8px] font-semibold uppercase",default,,Static,text-[8px] too small,EL-048,merge
EL-055,Modal shell (blur backdrop),"MemoryPage ModalShell:356, DeleteActionModal:22, ProjectLaunchModal:409, TaskChainOverview:2090",many,Centered dialog on dimmed blurred backdrop,Utility classes,"fixed inset-0 z-50/[60], bg-black/60-70, backdrop-blur-sm; panel rounded-2xl bg-[#0d0f14]/#121212/#141414 shadow-2xl",open backdrop-close,role=dialog aria-modal focus-trap Esc focus-restore,Overlay; backdrop click close (some),DEFECT: 2/14 aria-modal; 0 focus trap; inconsistent radius/bg/blur; duplicated inline (MemoryDetail),EL-056 EL-057 EL-058 EL-059,promote
EL-056,Command palette,"CommandPalette:335",1,Top-centered search overlay with result list,Utility classes,"fixed inset-0 z-[90], bg-black/60 backdrop-blur-sm; panel max-w-2xl rounded-2xl bg-[#0d0f14]",open,role=dialog aria-modal focus-trap; combobox/listbox/option roles; aria-activedescendant,Cmd/Ctrl+K; ↑↓/Enter/Esc via input,DEFECT: no dialog role; results plain buttons w/ JS-index highlight; Esc only while input focused,EL-055 EL-026,promote
EL-057,Dropdown menu / popover,"ThreadPage:1206/1246/1308, ChatComposer:292, TaskChainOverview:1004",many,Floating menu of actions,Utility classes,"absolute z-30/40, rounded-2xl, bg-[#101010]/#181818, shadow-2xl, p-1..3",open hover,focus-trap roving-focus arrow-keys,Toggle; outside-click close,Some role=menu/menuitem + aria-haspopup/expanded (good); NO focus-in/roving/arrow keys,EL-055,promote
EL-058,Drawer (side sheet),"VimSidebar:307, mobile inspector sheet responsive:237",2,Slide-in panel from edge,Utility classes,"fixed inset-0 z-50, justify-end/items-end; panel bg-[#0d0f14]/#0d0d0d rounded-t-3xl",open,focus-trap Esc,Slide-in,MobileInspectorSheet has role=dialog aria-modal (good) but no trap; Vim drawer none,EL-055,promote
EL-059,Wizard overlay,"OnboardingWizard:133, NewLocalProxyAgentWizard:210",2,Full-screen multi-step wizard,Utility classes,"fixed inset-0 z-50, bg-[var(--fd-canvas)]/black-60; step dots",open,role=dialog focus-trap Esc,Multi-step next/back,OW not dismissable; no dialog role/trap; step dots use bg-[var(--fd-surface-3)] UNDEFINED,EL-055,promote
EL-060,Artifact viewer modal,"ArtifactViewer:967/1227",1,Large content viewer; recursively stackable,Utility classes,"fixed inset-0 z-[80], bg-black/75, panel bg-[#0b0d12]",open,role=dialog aria-modal labelledby Esc trap,View/edit artifact; nested open,DEFECT: no dialog role; title is div; stacks at same z,EL-055,keep as one-off
EL-061,Tabs (4 styles),"ThreadPage:1083, ScheduleEditor:151, ContextInspector:40, ProjectLaunchModal:442, MemoryPage:173, AppShell:264",many,Tab strip: segmented/underline/pill,Utility classes,"grid/flex, active bg-sky-400/10 OR border-b-2 border-sky-400 OR bg-sky-500 text-black",active hover selected,focus-visible role=tablist/tab arrow-keys,Switch panel,Mostly button aria-pressed (ContextInspector good); NOT role=tab/tablist; no roving,EL-062,promote
EL-062,Accordion / collapsible group,"ActionsPanel:329, TaskChainsPage:158, AppShell:654, AgentPicker details:671",many,Expandable group header with chevron,Utility classes,"w-full flex justify-between px-4 py-3; chevron rotate",expanded hover,focus-visible,Toggle open,AppShell has aria-expanded/controls (good); ActionsPanel/TaskChains toggle lacks aria-expanded; AgentPicker uses native details/summary (good),,promote
EL-063,Segmented control,"AgentPicker:580, ScheduleEditor:151, MemoryManagementPage:477",3,2-way pill/grid toggle,Utility classes,"grid grid-cols-2 rounded-xl p-1; active bg-sky-400/10 OR bg-white text-black",active hover,focus-visible role=radiogroup,Switch mode,no aria-selected/role,EL-061,merge
EL-064,Tooltip,none (native title= only),0,No custom tooltip; relies on title attribute,n/a,n/a,,all,Hover title,native title only,,keep as one-off
EL-065,Empty state (rich dashed card),"ActionsPanel:292, TaskChainsPage:315, MemoryManagementPage:593, ChainArtifactsPanel:134, LibraryPage:250",many,Dashed box + icon tile + h3 + CTA,Utility classes,"rounded-2xl border-dashed border-white/10, p-8..12, icon tile bg-white/5, h3 text-base",default,,Static,2 separate Empty helpers; padding/radius/bg differ,EL-066,promote
EL-066,Empty state (bare text),"ProjectsSurface:138, TaskCommentsThread:99, AppShell:684, ConversationsHomePage:108",many,Plain muted sentence,Utility classes,"p-6 text-sm text-zinc-500/600",default,,Static,inconsistent with rich variant,EL-065,merge
EL-067,Loading (text only),"20+ files, ProjectsSurface:136, AppShell:746, CommandPalette:358",20+,Muted Loading… text,Utility classes,"text-sm text-zinc-500",loading,,Static,NO role=status/aria-live,EL-068 EL-069,promote
EL-068,Loading (spinner),"ActionsPanel:275, ArtifactViewer:1191, VimSidebar:378",3,Spinning icon or ring,Utility classes,"animate-spin, Icon refresh OR border-2 border-t-sky-300 h-8 w-8",loading,,Static,no role=status/aria-label,EL-067,promote
EL-069,Loading (skeleton pulse),"AgentsPanel:75, ActionEditorPage:162, +10 files",10,Pulsing placeholder blocks,Utility classes,"animate-pulse, h-24 rounded-xl bg-white/5",loading,,Static,inconsistent — most loads are text not skeleton,EL-067,promote
EL-070,Error banner (red/rose),"ChatComposer:259, AppShell:748, ChainEditor:603, Bridges:170, many",12+,Red/rose tinted alert box,Utility classes,"rounded-xl border-red-400/30 OR rose-500/30, bg-red-500/10, text-red-100/200",default,,Static,NO role=alert; red vs rose inconsistent,EL-071 EL-072,promote
EL-071,Error/warning banner (amber),"ArtifactViewer:501, NewLocalProxyAgentWizard:337, AppShell:890",4+,Amber tinted note/warning,Utility classes,"border-amber-400/20-30, bg-amber-400/10, text-amber-100",default,,Static,NO role=alert; amber used for both error and warning,EL-070,merge
EL-072,Success banner,"AgentDetail:260, MemoryPanel:374, ActionsPanel:221",3+,Emerald tinted confirmation,Utility classes,"border-emerald-400/20-30, bg-emerald-400/10, text-emerald-100/200",default,,Static; some auto-hide 5s,no role=status,EL-070,merge
EL-073,Inline field error,"Bridges:182, Projects:387, SkillViewer:23(rose)",many,Small red text under field,Utility classes,"text-xs text-red-300/400/rose-300",default,,Static,not linked to field via aria-describedby,EL-070,merge
EL-074,Progress bar,"ChatComposer:249, ThreadPage:1175, TaskChainOverview:1170",3,Thin track with filled bar,Utility classes,"h-1/1.5 rounded-full bg-white/10; inner bg-sky-300 width%",determinate indeterminate,,Upload/progress,no role=progressbar/aria-valuenow,,promote
EL-075,Toast,"NotificationsPanel showToast, ActionsPanel auto-hide",store-driven,Transient notification (store-dispatched),Utility classes,reuses banner styles,,role=status portal,Auto-dismiss,not portal; no role=status/aria-live,EL-072,promote
EL-076,Nav item (sidebar),"AppShell:766",7,Icon+label sidebar link; active fill,Utility classes,"rounded-xl px-2.5 py-2 text-[13px]; active bg-white/10",hover selected,focus-visible active,Navigate,a href; icon aria-hidden; aria-label only when collapsed,EL-077,promote
EL-077,Mobile tab bar button,"responsive:138",4,Bottom-tab icon+label,Utility classes,"flex-col items-center text-[10px]; min-h-11 min-w-11",selected,focus-visible,Navigate,button aria-current; 44px target (good),EL-076,promote
EL-078,Breadcrumb,"AppShell:260",1,Path trail of links,Utility classes,"flex gap-2 text-sm text-zinc-400; link hover:text-white",hover,focus-visible,Navigate,nav aria-label=Breadcrumb (good),,promote
EL-079,Settings sub-nav (scroll tabs),"AppShell:264",1,Horizontal scroll tab strip,Utility classes,"overflow-x-auto rounded-2xl bg-black/20 p-2; item min-h-[44px] active bg-sky-400 text-black",selected,focus-visible role=tablist,Navigate,a-based; no tab roles,EL-061,merge
EL-080,Pager (load more),"TaskChainsPage:189, CommandPalette:421",2,Full-width Load more button,Utility classes,"w-full rounded-xl bg-white/[0.03] px-3 py-2 text-xs",loading disabled,focus-visible,Load next page,native button,,promote
EL-081,Message bubble,"ChatMessageList:161",1,User bubble vs bare agent text; deep-link highlight,Utility classes,"rounded-[15px] border-[#262626] bg-[#1c1c1c] px-[14px] py-[10px]; highlight ring-amber-400/40",default highlight,,Static; group hover reveals copy,decorative,,keep as one-off
EL-082,Agent activity bubble,"AgentActivityBubbles:178",1,Ephemeral ham-ctl action pill row,Utility classes + keyframes,"rounded-full max-w-[240px] bg-white/[0.04]; agent-bubble-* anims",enter exit,,Animated; reduced-motion aware (good),aria-hidden gutter,,keep as one-off
EL-083,Graph node / canvas (ChainEditor),"ChainEditor:532/563",1,Draggable task node on pan canvas,Utility classes,"node role=button tabIndex; canvas pointer pan",hover selected dragging,keyboard-pan,Drag/click,node has role=button/tabIndex/onKeyDown (BEST interactive-div); canvas + SVG edges pointer-only (no keyboard),,delete (removed; see 09-dead-code-removed.md)
EL-084,Faux table (div/grid rows),"LibraryPage:305, TaskChainOverview, Bridges, ActionsPanel",many,Grid/flex rows imitating a table,Utility classes,"grid grid-cols-[1fr_5rem_...] OR flex rows divide-y",default hover,role=table/row/columnheader,Static/sortable,NO table semantics anywhere; no column headers for AT,,promote
EL-085,Markdown renderer,"MarkdownBody.tsx, Markdown.tsx",1,Renders MD to HTML string w/ hardcoded Tailwind,dangerouslySetInnerHTML,"bg-sky-400/10, rounded-full, text-[11px], text-[0.85em]",default,,Injects HTML; event-delegated copy,artifact chip is button inside injected HTML,,keep as one-off
EL-086,Scrollbar (custom),"styles.css:65-114",global,Thin gradient scrollbar; chat variant,Global CSS,"width 10px, #737373->#4a4a4a gradient, #525252 thumb",hover,,Scroll,decorative,,keep as one-off
EL-087,Connection badge,"ConnectionBadge.tsx",1,Framer-styled connection status pill+dot,framer/CSS-var,"framer-card framer-panel; tones emerald/rose/blue; animate-soft-pulse",live error idle connecting,,Live status,uses separate framer vocabulary; color+text (ok),EL-050,delete (removed; see 09-dead-code-removed.md)
